Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Sale Applied
38,Male,Jewelry,Accessories,7.987226201623901,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,13,Credit Card,Yes
56,Male,Shorts,Clothing,50.166125004134464,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,7,Bank Transfer,Yes
54,Male,Handbag,Accessories,81.96586775541206,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,41,PayPal,Yes
31,Male,Dress,Clothing,85.04556369017875,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,14,Credit Card,Yes
57,Male,Jewelry,Accessories,30.73005550524132,North Carolina,L,Black,Winter,4.7,Yes,Standard,16,Credit Card,Yes
33,Male,Dress,Clothing,57.84578142088199,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,45,Venmo,Yes
36,Male,Jacket,Outerwear,83.45089824206377,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,37,Venmo,Yes
54,Male,Pants,Clothing,13.583127000579555,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,45,Cash,Yes
36,Male,T-shirt,Clothing,95.1772719000951,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,38,PayPal,Yes
54,Male,Blouse,Clothing,-6.193402477595512,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,48,Credit Card,Yes
35,Male,T-shirt,Clothing,42.436279022031385,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,44,PayPal,Yes
35,Male,Jeans,Clothing,48.93722471738247,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,10,PayPal,Yes
29,Male,Dress,Clothing,51.76933159990821,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,44,Venmo,Yes
70,Male,Pants,Clothing,63.42736562379941,Arizona,S,Turquoise,Summer,4.2,Yes,Express,18,Credit Card,Yes
69,Male,Handbag,Accessories,73.68703435223519,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,31,Debit Card,Yes
67,Male,Scarf,Accessories,32.977926088214225,Alaska,M,Orange,Spring,4.5,Yes,Standard,40,Venmo,Yes
20,Male,Coat,Outerwear,70.42956019265145,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,15,PayPal,Yes
25,Male,Scarf,Accessories,54.60311583210583,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,19,PayPal,Yes
39,Male,Hat,Accessories,43.78722458080425,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,45,PayPal,Yes
50,Male,Socks,Clothing,42.14244452437831,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,25,PayPal,Yes
57,Male,Shirt,Clothing,49.872365791369226,California,L,White,Summer,2.9,Yes,Store Pickup,45,Cash,Yes
55,Male,Jewelry,Accessories,18.73919689274532,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,36,Cash,Yes
42,Male,Shirt,Clothing,61.4816793878959,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,38,Cash,Yes
68,Male,Hoodie,Clothing,22.29835439167367,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,34,Debit Card,Yes
49,Male,Blouse,Clothing,14.461559993880826,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,39,Debit Card,Yes
59,Male,Skirt,Clothing,71.23352577681736,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,7,Credit Card,Yes
42,Male,T-shirt,Clothing,40.619990449919015,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,26,Credit Card,Yes
29,Male,Skirt,Clothing,42.625602382323976,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,35,Credit Card,Yes
47,Male,Coat,Outerwear,77.21564953554723,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,35,Debit Card,Yes
40,Male,Jacket,Outerwear,21.815752482975707,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,49,Credit Card,Yes
41,Male,Backpack,Accessories,79.62526862807128,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,46,Credit Card,Yes
21,Male,Coat,Outerwear,83.51090254244718,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,17,Debit Card,Yes
69,Male,Hoodie,Clothing,44.4165152430942,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,29,Venmo,Yes
63,Male,Belt,Accessories,75.28682046672365,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,4,Debit Card,Yes
50,Male,Sweater,Clothing,14.873300519879436,Idaho,L,Brown,Summer,4.0,Yes,Express,17,Cash,Yes
55,Male,Scarf,Accessories,44.07586751838659,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,21,Credit Card,Yes
30,Male,Sneakers,Footwear,37.25051644788396,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,31,Credit Card,Yes
33,Male,Sunglasses,Accessories,106.12480057141646,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,43,Credit Card,Yes
65,Male,Boots,Footwear,81.55979756839332,Alabama,S,Green,Fall,4.8,Yes,Standard,18,Debit Card,Yes
65,Male,Backpack,Accessories,56.07065795784048,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,44,Venmo,Yes
31,Male,Blouse,Clothing,101.23272050095268,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,3,Venmo,Yes
45,Male,Coat,Outerwear,20.097604907897512,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,49,Debit Card,Yes
57,Male,Handbag,Accessories,53.22791211016828,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,21,Cash,Yes
48,Male,Belt,Accessories,100.76073132931938,Tennessee,S,Cyan,Summer,4.4,Yes,Express,5,Cash,Yes
22,Male,Belt,Accessories,28.28347921780097,Alabama,M,Magenta,Fall,4.2,Yes,Express,32,Debit Card,Yes
36,Male,Dress,Clothing,79.29287311628012,Virginia,L,Gold,Summer,2.9,Yes,Express,34,Bank Transfer,Yes
18,Male,Dress,Clothing,-26.39490208179489,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,21,Bank Transfer,Yes
48,Male,Pants,Clothing,101.43805008750448,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,43,Bank Transfer,Yes
49,Male,Gloves,Accessories,59.74094136476342,Indiana,L,Violet,Spring,4.5,Yes,Express,3,Cash,Yes
64,Male,Scarf,Accessories,79.01985299068265,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,21,Credit Card,Yes
50,Male,Hat,Accessories,44.835215530710045,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,32,Venmo,Yes
22,Male,Dress,Clothing,13.248621707982146,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,36,Debit Card,Yes
50,Male,Skirt,Clothing,86.60656224324975,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,50,Venmo,Yes
38,Male,Jacket,Outerwear,103.14225143023492,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,43,Bank Transfer,Yes
19,Male,Sandals,Footwear,101.55788089483032,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,24,Credit Card,Yes
67,Male,Shoes,Footwear,85.63459563452705,Virginia,L,Maroon,Summer,2.6,Yes,Express,36,Credit Card,Yes
19,Male,Pants,Clothing,11.830127942136247,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,21,Credit Card,Yes
36,Male,Dress,Clothing,29.96485912830927,Texas,M,Turquoise,Summer,4.1,Yes,Standard,34,Bank Transfer,Yes
52,Male,Coat,Outerwear,50.30804235404148,Arizona,S,Peach,Spring,4.4,Yes,Standard,42,Bank Transfer,Yes
53,Male,Sunglasses,Accessories,101.57502219319367,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,2,Debit Card,Yes
24,Male,Hoodie,Clothing,30.404795924659226,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,47,Cash,Yes
52,Male,Shoes,Footwear,63.26534866226712,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,44,Debit Card,Yes
33,Male,T-shirt,Clothing,48.941550986960806,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,35,Credit Card,Yes
47,Male,Jacket,Outerwear,102.37289981065778,California,XL,Pink,Fall,3.6,Yes,Next Day Air,15,Cash,Yes
25,Male,Hat,Accessories,33.95893812245295,South Carolina,L,Violet,Summer,2.9,Yes,Express,29,Credit Card,Yes
44,Male,Scarf,Accessories,92.44675706804465,South Carolina,S,Green,Winter,4.6,Yes,Standard,18,Credit Card,Yes
61,Male,Jacket,Outerwear,79.15783693735685,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,13,Venmo,Yes
37,Male,Sweater,Clothing,32.72970103735763,Florida,M,Purple,Fall,4.5,Yes,Standard,46,Credit Card,Yes
58,Male,Skirt,Clothing,81.92240554129152,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,28,Credit Card,Yes
37,Male,Sneakers,Footwear,105.2211054435978,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,48,PayPal,Yes
32,Male,Gloves,Accessories,73.10226913284922,Delaware,S,Gold,Spring,3.6,Yes,Express,43,Venmo,Yes
21,Male,Shoes,Footwear,87.30825733249706,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,37,Cash,Yes
20,Male,Jeans,Clothing,38.69258515899172,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,20,Bank Transfer,Yes
26,Male,Hoodie,Clothing,31.58709354469282,Missouri,XL,Indigo,Summer,3.7,Yes,Express,33,Debit Card,Yes
62,Male,Sunglasses,Accessories,91.1457096694646,South Dakota,M,Maroon,Fall,2.7,Yes,Express,31,Cash,Yes
27,Male,Coat,Outerwear,68.95445461556761,North Dakota,XL,White,Spring,4.6,Yes,Express,50,Credit Card,Yes
51,Male,Socks,Clothing,63.77428576667982,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,35,Credit Card,Yes
54,Male,Boots,Footwear,97.08101713629075,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,22,Venmo,Yes
55,Male,Sunglasses,Accessories,61.723718024210605,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,1,PayPal,Yes
69,Male,Backpack,Accessories,99.49155625663678,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,4,Bank Transfer,Yes
64,Male,Jacket,Outerwear,40.15100781445528,Minnesota,L,White,Summer,3.7,Yes,Standard,31,Credit Card,Yes
28,Male,Sneakers,Footwear,65.51108168467665,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,46,PayPal,Yes
70,Male,Socks,Clothing,40.62457569401917,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,32,Bank Transfer,Yes
58,Male,T-shirt,Clothing,84.46972249101566,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,43,Bank Transfer,Yes
56,Male,Backpack,Accessories,27.20460419882053,New York,M,Black,Summer,4.0,Yes,Standard,26,Venmo,Yes
26,Male,Belt,Accessories,124.26484224970572,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,9,Credit Card,Yes
37,Male,Gloves,Accessories,61.15278070437755,Florida,M,Red,Spring,4.3,Yes,Free Shipping,28,PayPal,Yes
44,Male,Hat,Accessories,60.03094684667225,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,20,PayPal,Yes
70,Male,Coat,Outerwear,94.30576460589512,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,9,Cash,Yes
53,Male,Skirt,Clothing,70.62643924760935,Wyoming,M,Gray,Spring,3.8,Yes,Standard,48,Debit Card,Yes
55,Male,Shoes,Footwear,108.8564562903004,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,12,Venmo,Yes
50,Male,Sandals,Footwear,47.03866065373549,South Dakota,L,Yellow,Summer,4.6,Yes,Express,29,Cash,Yes
50,Male,Sweater,Clothing,60.82063894086094,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,27,Cash,Yes
38,Male,Coat,Outerwear,57.81225090410522,Wyoming,M,Orange,Fall,4.3,Yes,Express,44,Cash,Yes
64,Male,Hat,Accessories,112.05588621872198,West Virginia,L,Red,Summer,4.0,Yes,Express,32,Bank Transfer,Yes
19,Male,Shorts,Clothing,43.962978744154384,Virginia,M,Olive,Winter,4.2,Yes,Standard,11,Cash,Yes
19,Male,Shorts,Clothing,83.73714187600541,Virginia,M,Olive,Winter,4.2,Yes,Standard,11,Cash,Yes
40,Male,Backpack,Accessories,83.80911251619958,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,44,Cash,Yes
57,Male,Sweater,Clothing,69.18927349738624,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,46,Cash,Yes
44,Male,Sweater,Clothing,74.67404540794456,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,50,PayPal,Yes
49,Male,Shorts,Clothing,55.993027301752825,California,M,Indigo,Winter,3.6,Yes,Next Day Air,45,Venmo,Yes
43,Male,Shorts,Clothing,25.930486917676014,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,48,Cash,Yes
24,Male,Sweater,Clothing,57.98673137867735,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,26,Credit Card,Yes
20,Male,Scarf,Accessories,33.371259496120544,California,M,Gold,Spring,4.7,Yes,Standard,21,Credit Card,Yes
24,Male,Dress,Clothing,45.7539257254779,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,49,PayPal,Yes
44,Male,Scarf,Accessories,48.47184861270363,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,13,PayPal,Yes
28,Male,Skirt,Clothing,10.611515315323938,Maine,L,Indigo,Summer,3.9,Yes,Standard,46,Credit Card,Yes
30,Male,Backpack,Accessories,88.99868810035079,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,42,PayPal,Yes
52,Male,Sweater,Clothing,49.334934153275256,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,25,Venmo,Yes
43,Male,Hat,Accessories,87.55876967588648,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,25,Cash,Yes
43,Male,Sandals,Footwear,97.2703443473934,Kansas,M,Purple,Fall,4.1,Yes,Express,12,PayPal,Yes
39,Male,Blouse,Clothing,61.3827136713209,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,4,Debit Card,Yes
68,Male,Sneakers,Footwear,47.54919869208259,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,38,PayPal,Yes
68,Male,Skirt,Clothing,55.14285508564856,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,42,Bank Transfer,Yes
49,Male,Coat,Outerwear,62.85033530877545,Florida,M,White,Fall,3.8,Yes,Store Pickup,30,Venmo,Yes
63,Male,Shirt,Clothing,31.692677170646085,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,50,Credit Card,Yes
56,Male,Gloves,Accessories,51.19765588496847,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,45,PayPal,Yes
37,Male,Jacket,Outerwear,73.6364574355462,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,33,Credit Card,Yes
30,Male,Coat,Outerwear,23.26098578243836,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,25,PayPal,Yes
19,Male,Shoes,Footwear,16.590867738314472,New Jersey,M,Silver,Fall,3.2,Yes,Express,25,Cash,Yes
24,Male,Jewelry,Accessories,105.43883131233795,Missouri,M,Teal,Fall,4.5,Yes,Standard,44,Debit Card,Yes
52,Male,Skirt,Clothing,35.93969346466372,Colorado,S,Black,Fall,4.0,Yes,Standard,21,Venmo,Yes
63,Male,Shoes,Footwear,69.00985700691753,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,31,Bank Transfer,Yes
37,Male,Gloves,Accessories,96.9289641899395,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,47,Debit Card,Yes
38,Male,Pants,Clothing,62.399505568430186,Delaware,M,White,Summer,3.2,Yes,Free Shipping,14,PayPal,Yes
35,Male,Boots,Footwear,100.64507394322008,California,L,Cyan,Fall,4.9,Yes,Standard,17,Debit Card,Yes
28,Male,Sunglasses,Accessories,52.86144946597362,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,3,Venmo,Yes
30,Male,Shirt,Clothing,70.71297163947264,South Carolina,S,Brown,Summer,4.3,Yes,Express,42,Venmo,Yes
69,Male,Hoodie,Clothing,92.31549022289514,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,22,Debit Card,Yes
41,Male,Dress,Clothing,107.47665841823576,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,21,Venmo,Yes
63,Male,Socks,Clothing,53.17393005594703,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,21,Bank Transfer,Yes
35,Male,Shorts,Clothing,39.1310721726766,Missouri,M,Lavender,Fall,4.0,Yes,Standard,40,Debit Card,Yes
36,Male,Hat,Accessories,48.50636659545357,Vermont,S,Yellow,Fall,3.0,Yes,Next Day Air,1,Bank Transfer,Yes
25,Male,Shirt,Clothing,88.74169207484904,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,50,Bank Transfer,Yes
58,Male,Gloves,Accessories,50.17191158014808,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,39,Bank Transfer,Yes
27,Male,Gloves,Accessories,6.586353632965789,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,34,Venmo,Yes
65,Male,Backpack,Accessories,68.26752258488644,North Dakota,M,Olive,Fall,3.0,Yes,Express,29,Venmo,Yes
54,Male,Sunglasses,Accessories,82.25561853872996,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,31,PayPal,Yes
54,Male,Skirt,Clothing,83.4412031998898,Virginia,M,Purple,Summer,3.4,Yes,Standard,8,Debit Card,Yes
59,Male,Handbag,Accessories,102.93585965307896,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,5,Credit Card,Yes
42,Male,Handbag,Accessories,55.09223767994259,Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,7,Cash,Yes
46,Male,Sneakers,Footwear,15.92527671285021,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,30,Cash,Yes
33,Male,Gloves,Accessories,9.209711407489536,Arkansas,M,Green,Fall,4.0,Yes,Express,14,Credit Card,Yes
34,Male,Shoes,Footwear,63.68379430069123,Louisiana,M,Magenta,Summer,3.0,Yes,Express,5,Cash,Yes
27,Male,Jacket,Outerwear,28.45796581171792,Nevada,S,Gold,Summer,3.3,Yes,Standard,3,PayPal,Yes
52,Male,Shirt,Clothing,31.82303949633288,Wyoming,M,Maroon,Fall,2.6,Yes,Store Pickup,46,Venmo,Yes
29,Male,Shorts,Clothing,40.53381598660038,Virginia,M,Blue,Summer,3.6,Yes,Store Pickup,4,Credit Card,Yes
54,Male,Jewelry,Accessories,83.54366498072048,Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,42,Credit Card,Yes
25,Male,Hat,Accessories,46.26003783755814,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,30,Cash,Yes
41,Male,Shoes,Footwear,64.07068154314634,Vermont,L,Brown,Winter,3.5,Yes,Express,37,Venmo,Yes
53,Male,Coat,Outerwear,80.70686333524088,Oklahoma,L,Violet,Fall,2.8,Yes,Next Day Air,2,Bank Transfer,Yes
53,Male,Backpack,Accessories,135.40338333179238,New Hampshire,L,Black,Spring,2.7,Yes,Next Day Air,30,Credit Card,Yes
21,Male,Hoodie,Clothing,54.51334695530012,Kansas,L,Magenta,Fall,3.7,Yes,Next Day Air,47,Bank Transfer,Yes
61,Male,Skirt,Clothing,25.856848871674348,Idaho,L,Lavender,Fall,4.3,Yes,2-Day Shipping,21,PayPal,Yes
64,Male,Boots,Footwear,9.582150038777757,Illinois,M,Violet,Fall,4.9,Yes,Store Pickup,9,Bank Transfer,Yes
51,Male,Sandals,Footwear,90.64944830486372,South Dakota,L,Green,Fall,3.3,Yes,Store Pickup,12,Debit Card,Yes
32,Male,Pants,Clothing,56.53074429348298,Massachusetts,M,Beige,Summer,4.7,Yes,Next Day Air,4,Bank Transfer,Yes
38,Male,Gloves,Accessories,110.28000988184183,Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,10,Debit Card,Yes
58,Male,Skirt,Clothing,38.4647524914709,Ohio,XL,Beige,Spring,3.6,Yes,2-Day Shipping,26,Credit Card,Yes
32,Male,Sneakers,Footwear,31.543421746862546,Hawaii,L,Cyan,Spring,3.0,Yes,Express,40,Cash,Yes
46,Male,T-shirt,Clothing,15.0641256386319,Wisconsin,XL,Silver,Summer,4.5,Yes,Store Pickup,34,Bank Transfer,Yes
39,Male,Backpack,Accessories,25.70305550628271,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,31,Debit Card,Yes
19,Male,Shoes,Footwear,85.06970095865958,Georgia,S,Purple,Spring,3.3,Yes,Store Pickup,1,Bank Transfer,Yes
50,Male,Hoodie,Clothing,70.12797588646944,Arkansas,M,Pink,Spring,3.1,Yes,Express,5,Bank Transfer,Yes
36,Male,Blouse,Clothing,86.28187488260409,West Virginia,M,Maroon,Fall,4.4,Yes,Next Day Air,4,Credit Card,Yes
65,Male,Coat,Outerwear,45.08522442576024,Indiana,XL,Beige,Fall,3.0,Yes,Free Shipping,48,Venmo,Yes
64,Male,Hat,Accessories,79.46361851702363,Utah,M,Gray,Fall,3.9,Yes,Free Shipping,29,Cash,Yes
46,Male,Shoes,Footwear,36.706347594576734,Nebraska,L,Turquoise,Summer,2.9,Yes,Express,12,PayPal,Yes
36,Male,Belt,Accessories,82.32285127597734,North Dakota,S,Silver,Fall,3.0,Yes,Standard,29,Venmo,Yes
51,Male,Backpack,Accessories,97.07450211891056,Missouri,M,Olive,Spring,3.1,Yes,Express,15,Debit Card,Yes
51,Male,Jacket,Outerwear,26.16417436892,New York,M,Magenta,Fall,4.3,Yes,Free Shipping,34,Credit Card,Yes
38,Male,Boots,Footwear,65.14059404338754,Washington,M,Lavender,Summer,3.9,Yes,Next Day Air,41,Credit Card,Yes
59,Male,Scarf,Accessories,85.15574720696567,South Carolina,M,Black,Fall,3.2,Yes,2-Day Shipping,41,Credit Card,Yes
57,Male,Jewelry,Accessories,56.215690527364686,Utah,M,Turquoise,Winter,4.8,Yes,Standard,39,Credit Card,Yes
54,Male,Hat,Accessories,94.66102486350552,Idaho,XL,Green,Summer,3.8,Yes,Express,32,Cash,Yes
25,Male,Dress,Clothing,82.07604104069806,Pennsylvania,S,Teal,Summer,3.3,Yes,Next Day Air,29,Venmo,Yes
69,Male,Blouse,Clothing,-5.553387359141823,Missouri,S,Beige,Fall,4.3,Yes,Free Shipping,15,Bank Transfer,Yes
57,Male,Hat,Accessories,19.243499201697546,Nebraska,L,Magenta,Spring,2.7,Yes,Express,33,Venmo,Yes
70,Male,Scarf,Accessories,48.3007053441732,Indiana,S,Yellow,Fall,3.2,Yes,Next Day Air,18,Bank Transfer,Yes
24,Male,Sneakers,Footwear,110.27571901824416,Arizona,M,Yellow,Fall,4.0,Yes,Store Pickup,35,Cash,Yes
67,Male,Shirt,Clothing,74.30095372612095,Hawaii,M,Silver,Winter,3.0,Yes,Standard,25,PayPal,Yes
24,Male,T-shirt,Clothing,132.05462981309444,Wisconsin,L,Silver,Summer,4.2,Yes,Free Shipping,6,Venmo,Yes
62,Male,Gloves,Accessories,102.41781021386332,Rhode Island,M,Silver,Summer,2.9,Yes,Express,17,Bank Transfer,Yes
57,Male,Skirt,Clothing,60.711312803611975,Wisconsin,M,Gold,Spring,4.1,Yes,Store Pickup,17,Credit Card,Yes
55,Male,Sandals,Footwear,116.08003526986406,Minnesota,S,Olive,Winter,3.2,Yes,Store Pickup,44,Cash,Yes
45,Male,Jacket,Outerwear,35.02782502611596,Vermont,L,Teal,Fall,3.0,Yes,2-Day Shipping,6,PayPal,Yes
69,Male,Skirt,Clothing,85.69461510719309,South Dakota,L,Maroon,Fall,4.2,Yes,2-Day Shipping,45,Debit Card,Yes
67,Male,Handbag,Accessories,99.17938440986536,Virginia,L,Blue,Fall,4.2,Yes,Express,7,Debit Card,Yes
